,Time,Reward,Deadline,Episode
91,4,7.5,16,8
92,5,9.5,15,8
93,6,11.5,14,8
94,7,11.5,13,8
95,8,11.5,12,8
96,9,11.0,11,8
97,10,13.0,10,8
98,11,15.0,9,8
99,12,14.5,8,8
100,13,16.5,7,8
101,14,18.5,6,8
102,15,18.0,5,8
103,16,20.0,4,8
104,17,22.0,3,8
105,18,21.5,2,8
106,19,21.0,1,8
107,20,20.0,0,8
108,0,2.0,40,9
109,1,4.0,39,9
110,2,3.5,38,9
111,3,3.0,37,9
112,4,5.0,36,9
113,5,7.0,35,9
114,6,9.0,34,9
115,7,8.5,33,9
116,8,8.0,32,9
117,9,10.0,31,9
118,10,12.0,30,9
119,11,14.0,29,9
120,12,16.0,28,9
121,13,15.5,27,9
122,14,17.5,26,9
123,15,19.5,25,9
124,16,21.5,24,9
125,17,21.0,23,9
126,18,23.0,22,9
127,19,25.0,21,9
128,20,24.5,20,9
129,21,26.5,19,9
130,22,28.5,18,9
131,23,30.5,17,9
132,24,30.0,16,9
133,25,29.5,15,9
134,26,31.5,14,9
135,27,33.5,13,9
136,28,35.5,12,9
137,29,37.5,11,9
138,30,39.5,10,9
139,31,39.0,9,9
140,32,41.0,8,9
141,33,43.0,7,9
142,34,45.0,6,9
143,35,57.0,5,9
144,0,2.0,25,10
145,1,4.0,24,10
